DateKey,Date,Day,Month,MonthShort,MonthNo,Quarter,Year
20210103,03/01/2021,Sunday,January,Jan,1,1,2021
20210104,04/01/2021,Monday,January,Jan,1,1,2021
20210105,05/01/2021,Tuesday,January,Jan,1,1,2021
20210106,06/01/2021,Wednesday,January,Jan,1,1,2021
20210107,07/01/2021,Thursday,January,Jan,1,1,2021
20210108,08/01/2021,Friday,January,Jan,1,1,2021
20210109,09/01/2021,Saturday,January,Jan,1,1,2021
20210110,10/01/2021,Sunday,January,Jan,1,1,2021
20210111,11/01/2021,Monday,January,Jan,1,1,2021
20210112,12/01/2021,Tuesday,January,Jan,1,1,2021
20210113,13/01/2021,Wednesday,January,Jan,1,1,2021
20210114,14/01/2021,Thursday,January,Jan,1,1,2021
20210115,15/01/2021,Friday,January,Jan,1,1,2021
20210116,16/01/2021,Saturday,January,Jan,1,1,2021
20210117,17/01/2021,Sunday,January,Jan,1,1,2021
20210118,18/01/2021,Monday,January,Jan,1,1,2021
20210119,19/01/2021,Tuesday,January,Jan,1,1,2021
20210120,20/01/2021,Wednesday,January,Jan,1,1,2021
20210121,21/01/2021,Thursday,January,Jan,1,1,2021
20210122,22/01/2021,Friday,January,Jan,1,1,2021
20210123,23/01/2021,Saturday,January,Jan,1,1,2021
20210124,24/01/2021,Sunday,January,Jan,1,1,2021
20210125,25/01/2021,Monday,January,Jan,1,1,2021
20210126,26/01/2021,Tuesday,January,Jan,1,1,2021
20210127,27/01/2021,Wednesday,January,Jan,1,1,2021
20210128,28/01/2021,Thursday,January,Jan,1,1,2021
20210129,29/01/2021,Friday,January,Jan,1,1,2021
20210130,30/01/2021,Saturday,January,Jan,1,1,2021
20210131,31/01/2021,Sunday,January,Jan,1,1,2021
20210201,01/02/2021,Monday,February,Feb,2,1,2021
20210202,02/02/2021,Tuesday,February,Feb,2,1,2021
20210203,03/02/2021,Wednesday,February,Feb,2,1,2021
20210204,04/02/2021,Thursday,February,Feb,2,1,2021
20210205,05/02/2021,Friday,February,Feb,2,1,2021
20210206,06/02/2021,Saturday,February,Feb,2,1,2021
20210207,07/02/2021,Sunday,February,Feb,2,1,2021
20210208,08/02/2021,Monday,February,Feb,2,1,2021
20210209,09/02/2021,Tuesday,February,Feb,2,1,2021
20210210,10/02/2021,Wednesday,February,Feb,2,1,2021
20210211,11/02/2021,Thursday,February,Feb,2,1,2021
20210212,12/02/2021,Friday,February,Feb,2,1,2021
20210213,13/02/2021,Saturday,February,Feb,2,1,2021
20210214,14/02/2021,Sunday,February,Feb,2,1,2021
20210215,15/02/2021,Monday,February,Feb,2,1,2021
20210216,16/02/2021,Tuesday,February,Feb,2,1,2021
20210217,17/02/2021,Wednesday,February,Feb,2,1,2021
20210218,18/02/2021,Thursday,February,Feb,2,1,2021
20210219,19/02/2021,Friday,February,Feb,2,1,2021
20210220,20/02/2021,Saturday,February,Feb,2,1,2021
20210221,21/02/2021,Sunday,February,Feb,2,1,2021
20210222,22/02/2021,Monday,February,Feb,2,1,2021
20210223,23/02/2021,Tuesday,February,Feb,2,1,2021
20210224,24/02/2021,Wednesday,February,Feb,2,1,2021
20210225,25/02/2021,Thursday,February,Feb,2,1,2021
20210226,26/02/2021,Friday,February,Feb,2,1,2021
